GET / - 30/8/2024, 10:43:54 p. m.
GET / - 1/9/2024, 20:59:34
GET /favicon.ico - 1/9/2024, 21:00:10
GET /transmilenio - 1/9/2024, 22:12:08
GET /transmilenio - 1/9/2024, 22:12:15
GET /transmilenio - 1/9/2024, 22:12:17
GET /transmilenio - 1/9/2024, 22:12:26
GET /transmilenio - 1/9/2024, 22:13:22
GET /transmilenio - 1/9/2024, 22:13:27
GET /transmilenio - 1/9/2024, 22:14:05
GET /transmilenio - 1/9/2024, 22:14:22
GET /transmilenio - 1/9/2024, 22:14:27
GET /transmilenio - 1/9/2024, 22:14:30
GET /transmilenio - 1/9/2024, 22:14:32
GET /transmilenio - 1/9/2024, 22:14:37
GET /transmilenio - 1/9/2024, 22:14:54
GET /transmilenio - 1/9/2024, 22:15:02
GET /transmilenio - 1/9/2024, 22:15:53
GET /transmilenio - 1/9/2024, 22:15:58
GET /transmilenio - 1/9/2024, 22:16:11
GET /transmilenio/:license_plate - 1/9/2024, 22:57:53
GET /transmilenio/:license_plate - 1/9/2024, 23:01:42
